Core,Depth,Coarse Fraction,Lat,Long,Ocean,HADCM3,CSIRO,GISS_121,GISS_122,GISS_123,GISS_124,GISS_125,GISS_126,GISS_127,GISS_128
VM27-232 PC A,1856,10%,3.5,4.5,Atlantic,0.8585061430931091,0.26453739404678345,0.16371502226298454,0.18498233398704922,0.16151337259878415,0.16224517735079236,0.17881994214402955,0.16253649569990122,0.1571919181667699,0.18564328850419798
VM28-137 PC A,1223,90-95%,6.5,275.5,Pacific,0.7543100118637085,0.25424209237098694,0.1955755931356532,0.2153025210940847,0.19263730341430635,0.20218836993582545,0.220827007303117,0.18844314448016436,0.20319712683113092,0.22121680856602974
VM28-138 PC A,1972,10-20% ,6.5,274.5,Pacific,0.7543100118637085,0.25424209237098694,0.19968593179647964,0.20870091460306003,0.19697537033160145,0.20261537383760064,0.21462678097183732,0.19467229367171163,0.20615143219120738,0.2153632399999883
VM28-139 PC A,1842,60%,5.5,274.5,Pacific,0.6512429118156433,0.27571699023246765,0.24840979109044173,0.2560743725575037,0.24631204488771088,0.24729247114916794,0.2578351965052679,0.24541917763804863,0.25059547719459496,0.25997262746368327
VM28-140 TW A,1655,30-80%,5.5,273.5,Pacific,0.6509790420532227,0.27571699023246765,0.24840979109044173,0.2560743725575037,0.24631204488771088,0.24729247114916794,0.2578351965052679,0.24541917763804863,0.25059547719459496,0.25997262746368327
VM28-147 PC A,1823,90%,3.5,270.5,Pacific,0.6159475445747375,0.23976173996925354,0.23107050419350023,0.2324391249605626,0.22616248406616302,0.2302642851718584,0.2335516832249643,0.22481584064956414,0.2293283971131111,0.23683773696688185
VM28-243 PC,2129,98%,11.5,138.5,Pacific,0.7185644507408142,0.2976762652397156,0.21371012664748917,0.245914610432693,0.2180710295815676,0.21633836262754538,0.24438407180282812,0.20991252633965204,0.21930012922462855,0.2414992456275491
VM29-013 TW A,4153,20%,4.5,83.5,Indian,0.4797196090221405,0.3831251859664917,0.491468770527667,0.4859587711580597,0.49028173766412747,0.489244244251382,0.4724699693510605,0.48609849716733977,0.48228413420830096,0.48451196295519267
VM29-014 PC A,3713,55%,6.5,85.5,Indian,0.6872428059577942,0.501591682434082,0.5842686150033006,0.5779056030305649,0.5816150422102533,0.5818864754561092,0.5604681081974154,0.5812733414500689,0.5721600184372317,0.5735424935492079
VM29-015 PC A,3173,65-75% ,11.5,88.5,Indian,0.8112159967422485,0.38885509967803955,0.5844956104781902,0.5866245491862448,0.5779684272312345,0.5816543547618664,0.5678661828336368,0.5888808956025802,0.5797732458602346,0.5771607125680575
VM29-016 PC A,2950,20%,14.5,88.5,Indian,1.2199068069458008,0.29193076491355896,0.26110209199465406,0.26644748002769136,0.26318773277213264,0.2542817933339562,0.26549819803044183,0.26678008368147166,0.271705392891531,0.26754440053423023
VM29-026 PC,2180,65%,5.5,73.5,Indian,0.8693332672119141,0.5113524198532104,0.5736088112731396,0.565845701000962,0.5716095442607766,0.5674147968422044,0.5613059727660955,0.5679870485481272,0.5635993106223229,0.563716880841336
VM29-031 PC A,3793,25%,3.5,78.5,Indian,0.49807748198509216,0.45081406831741333,0.4925888759808189,0.48774001145417784,0.49057677608119765,0.4890658841345719,0.47500591301098627,0.4870841221256506,0.483270841927022,0.4867380378413882
VM29-140 TW A,719,80-85%,-3.5,9.5,Atlantic,,0.4853977859020233,0.48848843930756514,0.5165023291258253,0.4892025883098692,0.4857128295318472,0.4776401671669699,0.4999219802987402,0.4649612367533446,0.5103486888748687
VM29-144 TW A,2685,60-70%,-0.5,6.5,Atlantic,1.5206193923950195,0.3740987181663513,0.2668797765525004,0.2845282417761274,0.2679118423595523,0.2676720958291219,0.2744106984690979,0.26655963739472377,0.26332527006479306,0.28154556764337874
VM29-164 PC,582,20-40%,8.5,345.5,Atlantic,0.5295845866203308,0.3688763976097107,0.6341285781560799,0.6516354348843975,0.6304416884158854,0.632618367617909,0.6356553894353518,0.6315372890059991,0.6209355353949577,0.6542406516914192
VM30-043 PC A,3362,40%,4.5,338.5,Atlantic,1.3106427192687988,0.11402815580368042,0.17380227969555734,0.18689362618651836,0.17253691712007857,0.17153280444415536,0.18218857681871378,0.17160264615659668,0.17295649413216743,0.1866014419057702
VM31-157 PC,3343,98%,26.5,314.5,Atlantic,0.16036997735500336,0.1304875612258911,0.18631992710240178,0.1913768672133653,0.18297774830355362,0.18675095519288099,0.19569926420487363,0.18386665794352866,0.18602584489423443,0.18860311425455983
VM34-063 PC A,2632,80-93%,-0.5,74.5,Indian,0.34509778022766113,0.232259139418602,0.22405210758520855,0.23478434472272153,0.22702384011345894,0.22502941252398906,0.22902241928790595,0.2230949709724176,0.22568027635376428,0.23573065393158582
VM34-083 PC,1928,99%,10.5,57.5,Indian,0.25362926721572876,0.26106157898902893,0.27774961716278007,0.289196452689246,0.2802438588884671,0.2861461776937533,0.2941327539925198,0.27998930385963333,0.2836172276569629,0.2859091744155385
VM34-093 PC A,2808,15%,20.5,65.5,Indian,0.1712493598461151,0.13504186272621155,0.18623252285833303,0.1886930169943513,0.1835951851419007,0.18952022149909115,0.18765234229478137,0.18484856398850893,0.18336460352530032,0.19186083620237368
VM34-100 PC,2970,30%,16.5,67.5,Indian,0.14079385995864868,0.19755563139915466,0.16747733228983663,0.18960664144981526,0.1640379413899602,0.1693419140196412,0.20190790411939183,0.16144483836792614,0.17518297376344136,0.19331572303747255
